"Title","Unemployment rate (aged 16 and over, seasonally adjusted)"
"CDID","MGSX"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","16-11-2021"
"Next release","14 December 2021"
"Important notes",
"1983 JUN","11.5"
"1983 JUL","11.5"
"1983 AUG","11.5"
"1983 SEP","11.6"
"1983 OCT","11.6"
"1983 NOV","11.7"
"1983 DEC","11.7"
"1984 JAN","11.8"
"1984 FEB","11.8"
"1984 MAR","11.9"
"1984 APR","11.9"
"1984 MAY","11.9"
"1984 JUN","11.8"
"1984 JUL","11.8"
"1984 AUG","11.7"
"1984 SEP","11.7"
"1984 OCT","11.7"
"1984 NOV","11.6"
"1984 DEC","11.6"
"1985 JAN","11.5"
"1985 FEB","11.5"
"1985 MAR","11.4"
"1985 APR","11.4"
"1985 MAY","11.4"
"1985 JUN","11.3"
"1985 JUL","11.3"
"1985 AUG","11.3"
"1985 SEP","11.3"
"1985 OCT","11.3"
"1985 NOV","11.3"
"1985 DEC","11.3"
"1986 JAN","11.3"
"1986 FEB","11.3"
"1986 MAR","11.3"
"1986 APR","11.3"
"1986 MAY","11.3"
"1986 JUN","11.4"
"1986 JUL","11.4"
"1986 AUG","11.4"
"1986 SEP","11.3"
"1986 OCT","11.3"
"1986 NOV","11.3"
"1986 DEC","11.2"
"1987 JAN","11.2"
"1987 FEB","11.1"
"1987 MAR","11.0"
"1987 APR","10.9"
"1987 MAY","10.7"
"1987 JUN","10.6"
"1987 JUL","10.4"
"1987 AUG","10.2"
"1987 SEP","10.0"
"1987 OCT","9.9"
"1987 NOV","9.7"
"1987 DEC","9.5"
"1988 JAN","9.4"
"1988 FEB","9.2"
"1988 MAR","9.0"
"1988 APR","8.9"
"1988 MAY","8.7"
"1988 JUN","8.6"
"1988 JUL","8.5"
"1988 AUG","8.4"
"1988 SEP","8.3"
"1988 OCT","8.2"
"1988 NOV","8.0"
"1988 DEC","7.9"
"1989 JAN","7.7"
"1989 FEB","7.6"
"1989 MAR","7.4"
"1989 APR","7.3"
"1989 MAY","7.2"
"1989 JUN","7.2"
"1989 JUL","7.1"
"1989 AUG","7.1"
"1989 SEP","7.1"
"1989 OCT","7.0"
"1989 NOV","7.0"
"1989 DEC","7.0"
"1990 JAN","6.9"
"1990 FEB","6.9"
"1990 MAR","6.9"
"1990 APR","6.9"
"1990 MAY","6.9"
"1990 JUN","6.9"
"1990 JUL","7.0"
"1990 AUG","7.1"
"1990 SEP","7.2"
"1990 OCT","7.3"
"1990 NOV","7.5"
"1990 DEC","7.6"
"1991 JAN","7.8"
"1991 FEB","8.0"
"1991 MAR","8.2"
"1991 APR","8.5"
"1991 MAY","8.7"
"1991 JUN","8.8"
"1991 JUL","9.0"
"1991 AUG","9.2"
"1991 SEP","9.3"
"1991 OCT","9.4"
"1991 NOV","9.5"
"1991 DEC","9.5"
"1992 JAN","9.6"
"1992 FEB","9.7"
"1992 MAR","9.8"
"1992 APR","9.8"
"1992 MAY","9.8"
"1992 JUN","9.9"
"1992 JUL","9.9"
"1992 AUG","9.9"
"1992 SEP","10.1"
"1992 OCT","10.2"
"1992 NOV","10.4"
"1992 DEC","10.5"
"1993 JAN","10.7"
"1993 FEB","10.6"
"1993 MAR","10.6"
"1993 APR","10.5"
"1993 MAY","10.4"
"1993 JUN","10.4"
"1993 JUL","10.3"
"1993 AUG","10.2"
"1993 SEP","10.3"
"1993 OCT","10.2"
"1993 NOV","10.3"
"1993 DEC","10.3"
"1994 JAN","10.1"
"1994 FEB","9.9"
"1994 MAR","9.8"
"1994 APR","9.7"
"1994 MAY","9.7"
"1994 JUN","9.6"
"1994 JUL","9.5"
"1994 AUG","9.4"
"1994 SEP","9.3"
"1994 OCT","9.1"
"1994 NOV","9.0"
"1994 DEC","8.9"
"1995 JAN","8.9"
"1995 FEB","8.9"
"1995 MAR","8.8"
"1995 APR","8.8"
"1995 MAY","8.7"
"1995 JUN","8.7"
"1995 JUL","8.6"
"1995 AUG","8.6"
"1995 SEP","8.6"
"1995 OCT","8.6"
"1995 NOV","8.3"
"1995 DEC","8.4"
"1996 JAN","8.3"
"1996 FEB","8.2"
"1996 MAR","8.3"
"1996 APR","8.3"
"1996 MAY","8.3"
"1996 JUN","8.2"
"1996 JUL","8.1"
"1996 AUG","8.1"
"1996 SEP","8.1"
"1996 OCT","8.0"
"1996 NOV","7.8"
"1996 DEC","7.7"
"1997 JAN","7.5"
"1997 FEB","7.3"
"1997 MAR","7.2"
"1997 APR","7.2"
"1997 MAY","7.2"
"1997 JUN","7.3"
"1997 JUL","7.1"
"1997 AUG","6.8"
"1997 SEP","6.7"
"1997 OCT","6.6"
"1997 NOV","6.5"
"1997 DEC","6.4"
"1998 JAN","6.4"
"1998 FEB","6.4"
"1998 MAR","6.3"
"1998 APR","6.3"
"1998 MAY","6.3"
"1998 JUN","6.3"
"1998 JUL","6.3"
"1998 AUG","6.2"
"1998 SEP","6.2"
"1998 OCT","6.2"
"1998 NOV","6.1"
"1998 DEC","6.2"
"1999 JAN","6.2"
"1999 FEB","6.2"
"1999 MAR","6.2"
"1999 APR","6.1"
"1999 MAY","6.0"
"1999 JUN","6.0"
"1999 JUL","5.9"
"1999 AUG","5.9"
"1999 SEP","5.8"
"1999 OCT","5.8"
"1999 NOV","5.8"
"1999 DEC","5.9"
"2000 JAN","5.8"
"2000 FEB","5.8"
"2000 MAR","5.7"
"2000 APR","5.6"
"2000 MAY","5.5"
"2000 JUN","5.3"
"2000 JUL","5.3"
"2000 AUG","5.3"
"2000 SEP","5.4"
"2000 OCT","5.3"
"2000 NOV","5.2"
"2000 DEC","5.2"
"2001 JAN","5.2"
"2001 FEB","5.1"
"2001 MAR","5.0"
"2001 APR","4.9"
"2001 MAY","5.0"
"2001 JUN","5.0"
"2001 JUL","5.1"
"2001 AUG","5.1"
"2001 SEP","5.1"
"2001 OCT","5.1"
"2001 NOV","5.2"
"2001 DEC","5.2"
"2002 JAN","5.1"
"2002 FEB","5.2"
"2002 MAR","5.2"
"2002 APR","5.2"
"2002 MAY","5.2"
"2002 JUN","5.2"
"2002 JUL","5.2"
"2002 AUG","5.3"
"2002 SEP","5.2"
"2002 OCT","5.2"
"2002 NOV","5.1"
"2002 DEC","5.0"
"2003 JAN","5.1"
"2003 FEB","5.2"
"2003 MAR","5.1"
"2003 APR","5.0"
"2003 MAY","4.9"
"2003 JUN","5.1"
"2003 JUL","5.1"
"2003 AUG","5.0"
"2003 SEP","5.0"
"2003 OCT","4.9"
"2003 NOV","4.9"
"2003 DEC","4.8"
"2004 JAN","4.8"
"2004 FEB","4.8"
"2004 MAR","4.8"
"2004 APR","4.8"
"2004 MAY","4.8"
"2004 JUN","4.8"
"2004 JUL","4.7"
"2004 AUG","4.7"
"2004 SEP","4.7"
"2004 OCT","4.7"
"2004 NOV","4.7"
"2004 DEC","4.7"
"2005 JAN","4.8"
"2005 FEB","4.7"
"2005 MAR","4.7"
"2005 APR","4.8"
"2005 MAY","4.8"
"2005 JUN","4.7"
"2005 JUL","4.7"
"2005 AUG","4.7"
"2005 SEP","4.9"
"2005 OCT","5.1"
"2005 NOV","5.1"
"2005 DEC","5.1"
"2006 JAN","5.2"
"2006 FEB","5.2"
"2006 MAR","5.3"
"2006 APR","5.4"
"2006 MAY","5.5"
"2006 JUN","5.5"
"2006 JUL","5.5"
"2006 AUG","5.5"
"2006 SEP","5.5"
"2006 OCT","5.4"
"2006 NOV","5.5"
"2006 DEC","5.5"
"2007 JAN","5.5"
"2007 FEB","5.5"
"2007 MAR","5.5"
"2007 APR","5.4"
"2007 MAY","5.4"
"2007 JUN","5.3"
"2007 JUL","5.3"
"2007 AUG","5.3"
"2007 SEP","5.2"
"2007 OCT","5.2"
"2007 NOV","5.2"
"2007 DEC","5.2"
"2008 JAN","5.2"
"2008 FEB","5.2"
"2008 MAR","5.3"
"2008 APR","5.2"
"2008 MAY","5.4"
"2008 JUN","5.5"
"2008 JUL","5.7"
"2008 AUG","5.9"
"2008 SEP","6.0"
"2008 OCT","6.2"
"2008 NOV","6.4"
"2008 DEC","6.5"
"2009 JAN","6.7"
"2009 FEB","7.1"
"2009 MAR","7.3"
"2009 APR","7.6"
"2009 MAY","7.8"
"2009 JUN","7.9"
"2009 JUL","7.9"
"2009 AUG","7.8"
"2009 SEP","7.9"
"2009 OCT","7.8"
"2009 NOV","7.8"
"2009 DEC","7.7"
"2010 JAN","7.9"
"2010 FEB","8.0"
"2010 MAR","8.0"
"2010 APR","7.9"
"2010 MAY","7.9"
"2010 JUN","7.8"
"2010 JUL","7.8"
"2010 AUG","7.8"
"2010 SEP","7.9"
"2010 OCT","7.9"
"2010 NOV","7.9"
"2010 DEC","7.9"
"2011 JAN","7.8"
"2011 FEB","7.8"
"2011 MAR","7.7"
"2011 APR","7.8"
"2011 MAY","7.9"
"2011 JUN","8.0"
"2011 JUL","8.2"
"2011 AUG","8.3"
"2011 SEP","8.4"
"2011 OCT","8.5"
"2011 NOV","8.4"
"2011 DEC","8.4"
"2012 JAN","8.3"
"2012 FEB","8.2"
"2012 MAR","8.2"
"2012 APR","8.1"
"2012 MAY","8.0"
"2012 JUN","8.0"
"2012 JUL","7.9"
"2012 AUG","7.9"
"2012 SEP","7.9"
"2012 OCT","7.8"
"2012 NOV","7.8"
"2012 DEC","7.8"
"2013 JAN","8.0"
"2013 FEB","7.8"
"2013 MAR","7.8"
"2013 APR","7.8"
"2013 MAY","7.7"
"2013 JUN","7.7"
"2013 JUL","7.7"
"2013 AUG","7.6"
"2013 SEP","7.4"
"2013 OCT","7.2"
"2013 NOV","7.2"
"2013 DEC","7.2"
"2014 JAN","6.9"
"2014 FEB","6.8"
"2014 MAR","6.6"
"2014 APR","6.4"
"2014 MAY","6.3"
"2014 JUN","6.1"
"2014 JUL","6.0"
"2014 AUG","6.0"
"2014 SEP","6.0"
"2014 OCT","5.9"
"2014 NOV","5.7"
"2014 DEC","5.7"
"2015 JAN","5.6"
"2015 FEB","5.5"
"2015 MAR","5.5"
"2015 APR","5.6"
"2015 MAY","5.6"
"2015 JUN","5.5"
"2015 JUL","5.4"
"2015 AUG","5.3"
"2015 SEP","5.2"
"2015 OCT","5.1"
"2015 NOV","5.1"
"2015 DEC","5.1"
"2016 JAN","5.1"
"2016 FEB","5.1"
"2016 MAR","5.0"
"2016 APR","4.9"
"2016 MAY","4.9"
"2016 JUN","4.9"
"2016 JUL","5.0"
"2016 AUG","4.8"
"2016 SEP","4.8"
"2016 OCT","4.8"
"2016 NOV","4.7"
"2016 DEC","4.7"
"2017 JAN","4.6"
"2017 FEB","4.6"
"2017 MAR","4.5"
"2017 APR","4.4"
"2017 MAY","4.4"
"2017 JUN","4.3"
"2017 JUL","4.3"
"2017 AUG","4.3"
"2017 SEP","4.2"
"2017 OCT","4.3"
"2017 NOV","4.4"
"2017 DEC","4.3"
"2018 JAN","4.2"
"2018 FEB","4.2"
"2018 MAR","4.2"
"2018 APR","4.2"
"2018 MAY","4.0"
"2018 JUN","4.0"
"2018 JUL","4.0"
"2018 AUG","4.1"
"2018 SEP","4.1"
"2018 OCT","4.0"
"2018 NOV","4.0"
"2018 DEC","3.9"
"2019 JAN","3.9"
"2019 FEB","3.8"
"2019 MAR","3.8"
"2019 APR","3.8"
"2019 MAY","3.9"
"2019 JUN","3.8"
"2019 JUL","3.9"
"2019 AUG","3.8"
"2019 SEP","3.8"
"2019 OCT","3.8"
"2019 NOV","3.8"
"2019 DEC","3.9"
"2020 JAN","4.0"
"2020 FEB","4.0"
"2020 MAR","4.0"
"2020 APR","4.1"
"2020 MAY","4.1"
"2020 JUN","4.3"
"2020 JUL","4.5"
"2020 AUG","4.8"
"2020 SEP","5.0"
"2020 OCT","5.1"
"2020 NOV","5.2"
"2020 DEC","5.1"
"2021 JAN","5.0"
"2021 FEB","4.9"
"2021 MAR","4.8"
"2021 APR","4.8"
"2021 MAY","4.7"
"2021 JUN","4.6"
"2021 JUL","4.5"
"2021 AUG","4.3"
