Name,Country,Start_Date,End_Date
Joyce Banda,Malawi,7 April 2012,31 May 2014
Park Geun-hye,South Korea,25 February 2013,10 March 2017
Alenka Bratušek,Slovenia,20 March 2013,18 September 2014
Sibel Siber,Northern Cyprus,13 June 2013,2 September 2013
Tatiana Turanskaya,Transnistria,10 June 2013,13 October 2015
Tatiana Turanskaya,Transnistria,30 November 2015,2 December 2015
Aminata Touré,Senegal,1 September 2013,8 July 2014
Erna Solberg,Norway,16 October 2013,14 October 2021
Laimdota Straujuma,Latvia,22 January 2014,11 February 2016
Catherine Samba-Panza,Central African Republic,23 January 2014,30 March 2016
Marie-Louise Coleiro Preca,Malta,4 April 2014,4 April 2019
Ewa Kopacz,Poland,22 September 2014,16 November 2015
Florence Duperval Guillaume,Haiti,20 December 2014,16 January 2015
Kolinda Grabar-Kitarović,Croatia,19 February 2015,18 February 2020
Ameenah Gurib-Fakim,Mauritius,5 June 2015,23 March 2018
Natalia Gherman,Moldova,22 June 2015,30 July 2015
Vassiliki Thanou,Greece,27 August 2015,21 September 2015
Maya Parnas,Transnistria,13 October 2015,30 November 2015
Maya Parnas,Transnistria,2 December 2015,23 December 2015
Bidya Devi Bhandari,Nepal,29 October 2015,31-Jan-22
Beata Szydło,Poland,16 November 2015,11 December 2017
Hilda Heine,Marshall Islands,28 January 2016,14 January 2020
Aung San Suu Kyi,Myanmar,6 April 2016,1 February 2021
Tsai Ing-wen,Taiwan,20 May 2016,31-Jan-22
Doris Bures,Austria,8 July 2016,26 January 2017
Theresa May,United Kingdom,13 July 2016,24 July 2019
Kersti Kaljulaid,Estonia,10 October 2016,11 October 2021
Ana Brnabić,Serbia,29 June 2017,31-Jan-22
Halimah Yacob,Singapore,14 September 2017,31-Jan-22
Jacinda Ardern,New Zealand,26 October 2017,31-Jan-22
Katrín Jakobsdóttir,Iceland,30 November 2017,31-Jan-22
Viorica Dăncilă,Romania,29 January 2018,4 November 2019
Paula-Mae Weekes,Trinidad and Tobago,19 March 2018,31-Jan-22
Mia Mottley,Barbados,25 May 2018,31-Jan-22
Đặng Thị Ngọc Thịnh,Vietnam,21 September 2018,23 October 2018
Sahle-Work Zewde,Ethiopia,25 October 2018,31-Jan-22
Salome Zourabichvili,Georgia,16 December 2018,31-Jan-22
Brigitte Bierlein,Austria,3 June 2019,7 January 2020
Maia Sandu,Moldova,8 June 2019,14 November 2019
Maia Sandu,Moldova,24 December 2020,31-Jan-22
Zuzana Čaputová,Slovakia,15 June 2019,31-Jan-22
Mette Frederiksen,Denmark,27 June 2019,31-Jan-22
Sophie Wilmès,Belgium,27 October 2019,1 October 2020
Jeanine Áñez,Bolivia,12 November 2019,8 November 2020
Sanna Marin,Finland,10 December 2019,31-Jan-22
Katerina Sakellaropoulou,Greece,13 March 2020,31-Jan-22
Rose Christiane Raponda,Gabon,16 July 2020,31-Jan-22
Victoire Tomegah Dogbé,Togo,28 September 2020,31-Jan-22
Vjosa Osmani,Kosovo,5 November 2020,22 March 2021
Vjosa Osmani,Kosovo,4 April 2021,31-Jan-22
Ingrida Šimonytė,Lithuania,25 November 2020,31-Jan-22
Kaja Kallas,Estonia,26 January 2021,31-Jan-22
Maya Tskitishvili,Georgia,18 February 2021,22 February 2021
Samia Suluhu Hassan,Tanzania,19 March 2021,31-Jan-22
Naomi Mataʻafa,Samoa,24 May 2021,31-Jan-22
Natalia Gavrilița,Moldova,6 August 2021,31-Jan-22
Najla Bouden,Tunisia,11 October 2021,31-Jan-22
Sandra Mason,Barbados,30 November 2021,31-Jan-22
Magdalena Andersson,Sweden,30 November 2021,31-Jan-22
Xiomara Castro,Honduras,27 January 2022,31-Jan-22
